№,Герб,Город,Регион,Федеральный округ,Население,Основание или первое упоминание,Статус города [5],Прежние названия
235,,Гусиноозёрск,Бурятия,Сибирский,23280,1939,1953,Шахты  (до 1953)
236,,Гусь-Хрустальный,Владимирская область,Центральный,60773,1756,1931,Гусь ; Гусь-Мальцевский  (до 1926)
237,,Давлеканово,Башкортостан,Приволжский,24040,1730-е,1942,
238,,Дагестанские Огни,Дагестан,Северо-Кавказский,30671,1914,1914,
239,,Далматово,Курганская область,Уральский,13913,1644,1947,Служняя  (до 1691); Николаевское  (до 1781); Далматов  (до 1924)
240,,Дальнегорск,Приморский край,Дальневосточный,37503,1897,1989,Тетюхе  (до 1972)
241,,Дальнереченск,Приморский край,Дальневосточный,27601,1859,1917,Иман  (до 1972)
242,,Данилов,Ярославская область,Центральный,15861,XV век,1777,Даниловское  (до 1777)
243,,Данков,Липецкая область,Центральный,21056,1563,1957,Донков
244,,Дегтярск,Свердловская область,Уральский,15521,1914,1954,
245,,Дедовск,Московская область,Центральный,29280,1911,1940,
246,,Демидов,Смоленская область,Центральный,7333,1499,1776,Поречье  (до 1918)
247,,Дербент,Дагестан,Северо-Кавказский,119961,438,1840,Баб-аль-Абваб
248,,Десногорск,Смоленская область,Центральный,29677,1974,1989,
249,,Джанкой Оспаривается,Крым,Южный,38622,1784,1917,
250,,Дзержинск,Нижегородская область,Приволжский,240762,1606,1930,Чёрное  (до 1927); Растяпино  (до 1929)
251,,Дзержинский,Московская область,Центральный,47125,1380-е,1981,Угреша
252,,Дивногорск,Красноярский край,Сибирский,28271,1956,1963,Скит
253,,Дигора,Северная Осетия — Алания,Северо-Кавказский,10856,1852,1964,Христиановское  (до 1934)
254,,Димитровград,Ульяновская область,Приволжский,122549,1698,1926,Мелекесс  (до 1972)
255,,Дмитриев,Курская область,Центральный,7721,1779,1779,
256,,Дмитров,Московская область,Центральный,61454,1154,1154,
257,,Дмитровск,Орловская область,Центральный,5956,1711,1782,Дмитровка  (до 1782); Дмитровск-Орловский  (с 1929 до 2005)
258,,Дно,Псковская область,Северо-Западный,9061,1897,1925,Донщина
259,,Добрянка,Пермский край,Приволжский,35720,1623,1943,Домрянка
260,,Долгопрудный,Московская область,Центральный,90976,1931,1957,Дирижаблестрой  (до 1938)
